Date,Task Category,Description,Files Changed,Notes
2026-06-11,Homepage,"Initial home page creation","home.php, home.twig, custom.js, custom.css","Base homepage structure"
2026-06-12,Search/Filter,"Live search implementation + filter part 1","custom.js, category.twig","Live search + initial filter"
2026-06-12,Project Setup,"Remove .idea, update .gitignore",".gitignore","Cleanup"
2026-06-14,JS/Slider,"jQuery + jQuery UI + new main.js","main.js","Main JS setup"
2026-06-14,JS/Slider,"Anime.js test before ScrollSmoother","main.js, custom.js","Animation testing"
2026-06-14,JS/Slider,"Backup before ScrollSmoother","-","Backup"
2026-06-14,Fix,"General fix","-","Minor fix"
2026-06-15,Homepage,"Select + slider bottom + scroll","home.twig, custom.js","Category slider + scroll"
2026-06-16,Homepage,"Checkpoint before footer rework","home.twig, footer","Footer rework preparation"
2026-06-23,JS/Slider,"New main.js + hero slider module","main.js, home.twig","Hero slider implementation"
2026-06-23,UOM,"Add UOM for admin, fix close()","adm/controller/catalog/product_edit.php, adm/view/template/catalog/product_form.twig","UOM inline edit for admin"
2026-06-24,UOM,"Commit 1 - UOM work","adm/","UOM admin continuation"
2026-06-24,UOM,"Commit up - UOM work","adm/","UOM admin continuation"
2026-06-26,UOM,"Rollback UOM select to input","adm/view/template/catalog/product_form.twig","Changed select back to input"
2026-06-26,SEO/Auctions,"New method cleanLink in seo_url","catalog/controller/startup/seo_url.php","Clean SEO URL generation"
2026-06-26,Auctions,"Auction categories + some changes","catalog/controller/product/category.php","Auction category handling"
2026-06-26,Auctions/SEO,"Maserati/auctions 404 - duplicate bug in oc_seo_url","catalog/controller/startup/seo_url.php","Fixed duplicate SEO URL bug"
2026-06-26,Homepage/Auctions,"Home auction listing 3","catalog/controller/common/home.php, home.twig","Auction display on homepage"
2026-06-27,Auctions/UI,"Cosmetics edit + auctions(mark)","catalog/view/theme/technics/template/product/category_auction.twig","UI improvements for auctions"
2026-06-29,UOM,"UOM done, add to prod","catalog/model/catalog/product.php, catalog/controller/product/product.php, product.twig","UOM frontend implementation"
2026-06-30,JS/Slider,"Fix swiper for mark + upgrade swiper 7.2 to 8.4.7","categoryMark.twig, mark.php, swiper files","Swiper fix + version upgrade"
2026-06-30,JS/Slider,"Additional fix swiper mark page + swiper style","categoryMark.twig, custom.css","Swiper styling fixes"
2026-07-01,JS/Slider,"Fix slider mark day 2","categoryMark.twig, mark.php","Continued slider fixes"
2026-06-06,Analysis,"Theme audit: technics theme structure, Bootstrap dependency check","-","Explored catalog/view/theme/technics - header/footer templates, product/category templates, custom JS/CSS. Theme uses custom CSS/JS, minimal Bootstrap classes found in templates. Bootstrap removal feasible with template refactor."
